CIM10;Description;Requete 1;Requete 2;Requete 3
C30.1;T.M. DE L'OREILLE MOY.;1 TETE requete;;
C41.8;T.M. A LOC. CONTIGUES DES OS ET DU CARTILAGE ARTIC.;1 TETE requete;;
C41.9;T.M. DES OS ET DU CARTILAGE ARTIC., SAI;1 TETE requete;;
C43.2;MELANOME MALIN DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
C43.4;MELANOME MALIN DU CUIR CHEVELU ET DU COU;1 TETE requete;;
C43.8;LES. A LOC. CONTIGUES D'UN MELANOME MALIN DE LA PEAU;1 TETE requete;;
C43.9;MELANOME DE LA PEAU, SAI;1 TETE requete;;
C44.2;T.M. DE LA PEAU DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
C44.4;T.M. DE LA PEAU DU CUIR CHEVELU ET DU COU;1 TETE requete;;
C44.8;T.M. A LOC. CONTIGUES DE LA PEAU;1 TETE requete;;
C44.9;T.M. DE LA PEAU, SAI;1 TETE requete;;
C45.7;MESOTHELIOME D'AUTRES SIEGES;1 TETE requete;;
C46;SARCOME DE KAPOSI;1 TETE requete;;
C46.0;SARCOME DE KAPOSI DE LA PEAU;1 TETE requete;;
C46.1;SARCOME DE KAPOSI DES TISSUS MOUS;1 TETE requete;;
C47.0;T.M. DES NERFS PERIPH. DE TETE, FACE, COU;1 TETE requete;;
C49.0;T.M. DU TISSU CONJ. ET DES TISSUS MOUS NCA DE TETE, FACE, COU;1 TETE requete;;
C70.0;T.M. DES MENINGES CEREB.;1 TETE requete;;
C70.1;T.M. DES MENINGES RACH.;1 TETE requete;;
C70.9;T.M. DES MENINGES, SAI;1 TETE requete;;
C71.0;T.M. DU CERVEAU, SAUF LOBES ET VENTRICULES;1 TETE requete;;
C71.1;T.M. DU LOBE FRONTAL;1 TETE requete;;
C71.2;T.M. DU LOBE TEMPORAL;1 TETE requete;;
C71.3;T.M. DU LOBE PARIETAL;1 TETE requete;;
C71.4;T.M. DU LOBE OCCIPITAL;1 TETE requete;;
C71.5;T.M. D'UN VENTRICULE CEREB.;1 TETE requete;;
C71.6;T.M. DU CERVELET;1 TETE requete;;
C71.7;T.M. DU TRONC CEREB.;1 TETE requete;;
C71.8;T.M. A LOC. CONTIGUES DE L'ENCEPHALE;1 TETE requete;;
C71.9;T.M. DE L'ENCEPHALE, SAI;1 TETE requete;;
C72.0;T.M. DE LA MOELLE EP.;1 TETE requete;;
C72.1;T.M. DE LA QUEUE DE CHEVAL;1 TETE requete;;
C72.2;T.M. DU NERF OLFACTIF;1 TETE requete;;
C72.4;T.M. DU NERF AUDITIF;1 TETE requete;;
C72.5;T.M. DES NERFS CRANIENS, NCA OU SAI;1 TETE requete;;
C72.8;T.M. A LOC. CONTIGUES DE L'ENCEPHALE ET D'AUTRES PARTIES DU S.N.C.;1 TETE requete;;
C72.9;T.M. DU SYST. NERV. CENTRAL, SAI;1 TETE requete;;
C75.1;T.M. DE L'HYPOPHYSE;1 TETE requete;;
C75.2;T.M. DU TRACTUS CRANIO-PHARYNGIEN;1 TETE requete;;
C75.3;T.M. DE L'EPIPHYSE;1 TETE requete;;
C75.4;T.M. DU CORPUSCULE CAROTIDIEN;1 TETE requete;;
C76.0;T.M. SIEGE MAL DEF. DE TETE, FACE, COU;1 TETE requete;;
C77.0;T.M. IIre OU SAI DES Ggl. LYMPH. DE TETE, FACE, COU;1 TETE requete;;
C79.3;T.M. IIre. DU CERVEAU ET DES MENINGES CEREB.;1 TETE requete;;
C79.4;T.M. IIre. DE PARTIES DU SYST. NERV., NCA OU SAI;1 TETE requete;;
D02;CARC. IN SITU DE L'OREILLE MOY. ET DE L'APP. RESP.;1 TETE requete;;
D03.2;MELANOME IN SITU DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
D03.4;MELANOME IN SITU DU CUIR CHEVELU ET DU COU;1 TETE requete;;
D04.2;CARC. IN SITU DE LA PEAU DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
D04.4;CARC. IN SITU DE LA PEAU DU CUIR CHEVELU ET DU COU;1 TETE requete;;
D16.4;T.B. DES OS DU CRANE ET DE LA FACE;1 TETE requete;;
D16.9;T.B. DES OS ET DU CARTILAGE ARTIC., SAI;1 TETE requete;;
D17.0;T.B. LIPOMATEUSE PEAU, TISSU /S-CUT. DE TETE, FACE, COU;1 TETE requete;;
D21.0;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DE TETE, FACE, COU;1 TETE requete;;
D22.2;NAEVUS A MELANOCYTES DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
D22.4;NAEVUS A MELANOCYTES DU CUIR CHEVELU ET DU COU;1 TETE requete;;
D23.2;T.B. DE LA PEAU DE L'OREILLE ET DU CONDUIT AUDITIF EXT.;1 TETE requete;;
D23.4;T.B. DE LA PEAU DU CUIR CHEVELU ET DU COU;1 TETE requete;;
D32;T.B. DES MENINGES;1 TETE requete;;
D32.0;T.B. DES MENINGES CEREB.;1 TETE requete;;
D33;T.B. DE L'ENCEPHALE ET D'AUTRES PARTIES DU S.N.C.;1 TETE requete;;
D33.0;T.B. DE L'ENCEPHALE, SUPRATENTORIEL;1 TETE requete;;
D33.1;T.B. DE L'ENCEPHALE, INFRATENTORIEL;1 TETE requete;;
D33.2;T.B. DE L'ENCEPHALE, SAI;1 TETE requete;;
D35.2;T.B. DE L'HYPOPHYSE;1 TETE requete;;
D35.3;T.B. DU CANAL CRANIO-PHARYNGIEN;1 TETE requete;;
D35.4;T.B. DE L'EPIPHYSE;1 TETE requete;;
D35.5;T.B. DU CORPUSCULE CAROTIDIEN;1 TETE requete;;
D42.0;T. EV. IMPR., INC. DES MENINGES CEREB.;1 TETE requete;;
D43;T. EV. IMPR., INC. DE L'ENCEPHALE ET DU S.N.C.;1 TETE requete;;
D43.0;T. EV. IMPR., INC. DE L'ENCEPHALE, SUPRATENTORIEL;1 TETE requete;;
D43.1;T. EV. IMPR., INC. DE L'ENCEPHALE, INFRATENTORIEL;1 TETE requete;;
D43.2;T. EV. IMPR., INC. DE L'ENCEPHALE, SAI;1 TETE requete;;
D43.3;T. EV. IMPR., INC. DES NERFS CRANIENS;1 TETE requete;;
D44.3;T. EV. IMPR., INC. DE L'HYPOPHYSE;1 TETE requete;;
D44.4;T. EV. IMPR., INC. DU CANAL CRANIOPHARYNGIEN;1 TETE requete;;
D44.40;CRANIOPHARYNGIOME;1 TETE requete;;
D44.48;T. EV. IMPR., INC. DU CANAL CRANIOPHARYNGIEN NCA;1 TETE requete;;
D44.5;T. EV. IMPR., INC. DE L'EPIPHYSE;1 TETE requete;;
D44.6;T. EV. IMPR., INC. DU CORPUSCULE CAROTIDIEN;1 TETE requete;;
D33.3;T.B. DES NERFS CRANIENS;1a NEURINOME requete;;
H06.2;EXOPHTALMIE THYREOTOXIQUE;1b BASEDOW requete;;
C69.0;T.M. DE LA CONJONCTIVE;1c OPHTALMO requete;;
C69.1;T.M. DE LA CORNEE;1c OPHTALMO requete;;
C69.2;T.M. DE LA RETINE;1c OPHTALMO requete;;
C69.3;T.M. DE LA CHOROIDE;1c OPHTALMO requete;;
C69.4;T.M. DU CORPS CILIAIRE;1c OPHTALMO requete;;
C69.5;T.M. DE LA Gld. LACRYMALE ET DU CANAL LACRYMAL;1c OPHTALMO requete;;
C69.6;T.M. DE L'ORBITE;1c OPHTALMO requete;;
C69.8;T.M. A LOC. CONTIGUES DE L'OEIL ET DE SES ANNEXES;1c OPHTALMO requete;;
C69.9;T.M. DE L'OEIL, SAI;1c OPHTALMO requete;;
C72.3;T.M. DU NERF OPTIQUE;1c OPHTALMO requete;;
D09.2;CARC. IN SITU DE L'OEIL;1c OPHTALMO requete;;
D22.1;NAEVUS A MELANOCYTES DE LA PAUPIERE, Y COMPRIS LE CANTHUS;1c OPHTALMO requete;;
D23.1;T.B. DE LA PEAU DE LA PAUPIERE, Y COMPRIS LE CANTHUS;1c OPHTALMO requete;;
D31;T.B. DE L'OEIL ET DE SES ANNEXES;1c OPHTALMO requete;;
D31.0;T.B. DE LA CONJONCTIVE;1c OPHTALMO requete;;
D31.1;T.B. DE LA CORNEE;1c OPHTALMO requete;;
D31.2;T.B. DE LA RETINE;1c OPHTALMO requete;;
D31.3;T.B. DE LA CHOROIDE;1c OPHTALMO requete;;
D31.4;T.B. DU CORPS CILIAIRE;1c OPHTALMO requete;;
D31.5;T.B. DE LA Gld. LACRYMALE ET DU CANAL LACRYMAL;1c OPHTALMO requete;;
D31.6;T.B. DE L'ORBITE, SAI;1c OPHTALMO requete;;
D31.9;T.B. DE L'OEIL, SAI;1c OPHTALMO requete;;
C00.0;T.M. DE LA LEVRE SUP., SAI;2 COU requete;;
C00.1;T.M. DE LA LEVRE INF., SAI;2 COU requete;;
C00.2;T.M. DE LA LEVRE SAI, BORD LIBRE;2 COU requete;;
C00.3;T.M. DE LA LEVRE SUP., FACE INT.;2 COU requete;;
C00.4;T.M. DE LA LEVRE INF., FACE INT.;2 COU requete;;
C00.5;T.M. DE LA LEVRE, SAI, FACE INT.;2 COU requete;;
C00.6;T.M. DE LA COMMISSURE DES LEVRES;2 COU requete;;
C00.8;T.M. A LOC. CONTIGUES DE LA LEVRE;2 COU requete;;
C00.9;T.M. DE LA LEVRE, SAI;2 COU requete;;
C01;T.M. DE LA BASE DE LA LANGUE;2 COU requete;;
C02.0;T.M. DE LA FACE DORSALE DE LA LANGUE;2 COU requete;;
C02.1;T.M. DE LA POINTE ET DU BORD LAT. DE LA LANGUE;2 COU requete;;
C02.2;T.M. DE LA FACE ANT. DE LA LANGUE;2 COU requete;;
C02.3;T.M. DES DEUX TIERS ANT. DE LA LANGUE, SAI;2 COU requete;;
C02.4;T.M. D'UNE AMYGDALE LINGUALE;2 COU requete;;
C02.8;T.M. A LOC. CONTIGUES DE LA LANGUE;2 COU requete;;
C02.9;T.M. DE LA LANGUE, SAI;2 COU requete;;
C03.0;T.M. DE LA GENCIVE SUP.;2 COU requete;;
C03.1;T.M. DE LA GENCIVE INF.;2 COU requete;;
C03.9;T.M. DE LA GENCIVE, SAI;2 COU requete;;
C04.0;T.M. DU PLANCHER ANT. DE LA BOUCHE;2 COU requete;;
C04.1;T.M. DU PLANCHER LAT. DE LA BOUCHE;2 COU requete;;
C04.8;T.M. A LOC. CONTIGUES DU PLANCHER DE LA BOUCHE;2 COU requete;;
C04.9;T.M. DU PLANCHER DE LA BOUCHE, SAI;2 COU requete;;
C05.0;T.M. DE LA VOUTE PALATINE;2 COU requete;;
C05.1;T.M. DU VOILE DU PALAIS;2 COU requete;;
C05.2;T.M. DE LA LUETTE;2 COU requete;;
C05.8;T.M. A LOC. CONTIGUES DU PALAIS;2 COU requete;;
C05.9;T.M. DU PALAIS, SAI;2 COU requete;;
C06.0;T.M. DE LA MUQ. DE LA JOUE;2 COU requete;;
C06.1;T.M. DU VESTIBULE DE LA BOUCHE;2 COU requete;;
C06.2;T.M. DE LA REGION RETROMOLAIRE;2 COU requete;;
C06.8;T.M. A LOC. CONTIGUES DE LA BOUCHE, PARTIES NCA OU SAI;2 COU requete;;
C06.9;T.M. DE LA BOUCHE, SAI;2 COU requete;;
C07;T.M. DE LA Gld. PAROTIDE;2 COU requete;;
C08.0;T.M. DE LA Gld. SOUS-MAXILLAIRE;2 COU requete;;
C08.1;T.M. DE LA Gld. SUBLINGUALE;2 COU requete;;
C08.8;T.M. A LOC. CONTIGUES DES Gld. SALIVAIRES Ppal.;2 COU requete;;
C08.9;T.M. DE LA Gld. SALIVAIRE, SAI;2 COU requete;;
C09.0;T.M. DE LA FOSSE AMYGDALIENNE;2 COU requete;;
C09.1;T.M. DU PILIER DE L'AMYGDALE;2 COU requete;;
C09.8;T.M. A LOC. CONTIGUES DE L'AMYGDALE;2 COU requete;;
C09.9;T.M. DE L'AMYGDALE, SAI;2 COU requete;;
C10.0;T.M. DU SILLON GLOSSO-EPIGLOTTIQUE;2 COU requete;;
C10.1;T.M. DE LA FACE ANT. DE L'EPIGLOTTE;2 COU requete;;
C10.2;T.M. DE LA PAROI LAT. DE L'OROPHARYNX;2 COU requete;;
C10.3;T.M. DE LA PAROI POST. DE L'OROPHARYNX;2 COU requete;;
C10.4;T.M. DE LA FENTE BRANCHIALE;2 COU requete;;
C10.8;T.M. A LOC. CONTIGUES DE L'OROPHARYNX;2 COU requete;;
C10.9;T.M. DE L'OROPHARYNX, SAI;2 COU requete;;
C12;T.M. DU SINUS PIRIFORME;2 COU requete;;
C13.0;T.M. DE LA REGION RETRO-CRICOIDIENNE;2 COU requete;;
C13.1;T.M. DU REPLI ARY-EPIGLOTTIQUE;2 COU requete;;
C13.2;T.M. DE LA PAROI POST. DE L'HYPOPHARYNX;2 COU requete;;
C13.8;T.M. A LOC. CONTIGUES DE L'HYPOPHARYNX;2 COU requete;;
C13.9;T.M. DE L'HYPOPHARYNX, SAI;2 COU requete;;
C14.0;T.M. DU PHARYNX, SAI;2 COU requete;;
C14.2;T.M. DE L'ANNEAU DE WALDEYER;2 COU requete;;
C14.8;T.M. A LOC. CONTIGUES DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX;2 COU requete;;
C32.0;T.M. DE LA GLOTTE;2 COU requete;;
C32.1;T.M. DE L'ETAGE SUS-GLOTTIQUE;2 COU requete;;
C32.2;T.M. DE L'ETAGE SOUS-GLOTTIQUE;2 COU requete;;
C32.3;T.M. DU CARTILAGE LARYNGE;2 COU requete;;
C32.8;T.M. A LOC. CONTIGUES DU LARYNX;2 COU requete;;
C32.9;T.M. DU LARYNX, SAI;2 COU requete;;
C41.1;T.M. DE LA MANDIBULE;2 COU requete;;
C41.2;T.M. DU RACHIS;2 COU requete;;
C43.0;MELANOME MALIN DE LA LEVRE;2 COU requete;;
C44.0;T.M. DE LA FACE CUTANEE DE LA LEVRE;2 COU requete;;
C46.70;SARCOME DE KAPOSI O.R.L.;2 COU requete;;
C73;T.M. DE LA THYROIDE;2 COU requete;;
C75.0;T.M. DE LA PARATHYROIDE;2 COU requete;;
C75.5;T.M. DU GLOMUS AORT. ET AUTRES PARAGANGLIONS;2 COU requete;;
D00;CARC. IN SITU DE CAV. BUCC., OESOPH. ET L'ESTOM;2 COU requete;;
D00.0;CARC. IN SITU DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX;2 COU requete;;
D02.0;CARC. IN SITU DU LARYNX;2 COU requete;;
D03.0;MELANOME IN SITU DE LA LEVRE;2 COU requete;;
D04.0;CARC. IN SITU DE LA PEAU DE LA LEVRE;2 COU requete;;
D10;T.B. DE LA BOUCHE ET DU LARYNX;2 COU requete;;
D10.0;T.B. DE LA LEVRE;2 COU requete;;
D10.1;T.B. DE LA LANGUE;2 COU requete;;
D10.2;T.B. DU PLANCHER DE LA BOUCHE;2 COU requete;;
D10.3;T.B. DE PARTIES DE LA BOUCHE, NCA OU SAI;2 COU requete;;
D10.4;T.B. D'UNE AMYGDALE;2 COU requete;;
D10.5;T.B. D'AUTRES PARTIES DE L'OROPHARYNX;2 COU requete;;
D10.7;T.B. DE L'HYPOPHARYNX;2 COU requete;;
D10.9;T.B. DU PHARYNX, SAI;2 COU requete;;
D11;T.B. DES Gld. SALIVAIRES Ppal.;2 COU requete;;
D11.0;T.B. DE LA Gld. PAROTIDE;2 COU requete;;
D11.7;T.B. D'AUTRES Gld. SALIVAIRES Ppal.;2 COU requete;;
D11.9;T.B. DE LA Gld. SALIVAIRE Ppal., SAI;2 COU requete;;
D14;T.B. DE L'OREILLE MOY. ET DE L'APP. RESP.;2 COU requete;;
D14.1;T.B. DU LARYNX;2 COU requete;;
D16.5;T.B. DU MAXILLAIRE INF.;2 COU requete;;
D16.6;T.B. DU RACHIS;2 COU requete;;
D22.0;NAEVUS A MELANOCYTES DE LA LEVRE;2 COU requete;;
D23.0;T.B. DE LA PEAU DE LA LEVRE;2 COU requete;;
D34;T.B. DE LA THYROIDE;2 COU requete;;
D35.1;T.B. D'UNE PARATHYROIDE;2 COU requete;;
D35.6;T.B. DU GLOMUS AORT. ET AUTRES PARAGANGLIONS;2 COU requete;;
D37;T. EV. IMPR., INC. DE LA CAV. BUCC. ET DES ORG. DIG.;2 COU requete;;
D37.0;T. EV. IMPR., INC. DE LA LEVRE, DE LA CAV. BUCC. ET DU PHARYNX;2 COU requete;;
D38.0;T. EV. IMPR., INC. DU LARYNX;2 COU requete;;
D44.0;T. EV. IMPR., INC. DE LA THYROIDE;2 COU requete;;
D44.2;T. EV. IMPR., INC. D'UNE PARATHYROIDE;2 COU requete;;
D44.7;T. EV. IMPR., INC. DU GLOMUS AORT. ET AUTRES PARAGANGLIONS;2 COU requete;;
C11.0;T.M. DE LA PAROI SUP. DU RHINOPHARYNX;2c COUFACE requete;;
C11.1;T.M. DE LA PAROI POST. DU RHINOPHARYNX;2c COUFACE requete;;
C11.2;T.M. DE LA PAROI LAT. DU RHINOPHARYNX;2c COUFACE requete;;
C11.3;T.M. DE LA PAROI ANT. DU RHINOPHARYNX;2c COUFACE requete;;
C11.8;T.M. A LOC. CONTIGUES DE RHINOPHARYNX;2c COUFACE requete;;
C11.9;T.M. DU RHINOPHARYNX, SAI;2c COUFACE requete;;
C30.0;T.M. DES FOSSES NASALES;2c COUFACE requete;2b FACE requete;
C31.0;T.M. DU SINUS MAXILLAIRE;2c COUFACE requete;2b FACE requete;
C31.1;T.M. DU SINUS ETHMOIDAL;2c COUFACE requete;2b FACE requete;
C31.2;T.M. DU SINUS FRONTAL;2c COUFACE requete;2b FACE requete;
C31.3;T.M. DU SINUS SPHENOIDAL;2c COUFACE requete;2b FACE requete;
C31.8;T.M. A LOC. CONTIGUES DES SINUS DE LA FACE;2c COUFACE requete;2b FACE requete;
C31.9;T.M. DES SINUS DE LA FACE, SAI;2c COUFACE requete;2b FACE requete;
C41.0;T.M. DES OS DU CRANE ET DE LA FACE;2c COUFACE requete;2b FACE requete;
C43.1;MELANOME MALIN DE LA PAUPIERE, Y COMPRIS LE CANTHUS;2c COUFACE requete;2b FACE requete;1c OPHTALMO requete
C43.3;MELANOME MALIN DE LA FACE, PARTIES NCA OU SAI;2c COUFACE requete;2b FACE requete;1c OPHTALMO requete
C44.1;T.M. DE LA PEAU DE LA PAUPIERE, Y COMPRIS LE CANTHUS;2c COUFACE requete;2b FACE requete;1c OPHTALMO requete
C44.3;T.M. DE LA PEAU DE LA FACE, PARTIES NCA OU SAI;2c COUFACE requete;2b FACE requete;
C46.2;SARCOME DE KAPOSI DU PALAIS;2c COUFACE requete;;
D03.1;MELANOME IN SITU DE LA PAUPIERE, Y COMPRIS LE CANTHUS;2c COUFACE requete;;
D03.3;MELANOME IN SITU DE PARTIES DE LA FACE, NCA OU SAI;2c COUFACE requete;;
D04.1;CARC. IN SITU DE LA PEAU DE LA PAUPIERE, Y COMPRIS LE CANTHUS;2c COUFACE requete;;
D04.3;CARC. IN SITU DE LA PEAU DES PARTIES DE LA FACE, NCA OU SAI;2c COUFACE requete;;
D10.6;T.B. DU RHINOPHARYNX;2c COUFACE requete;2b FACE requete;
D14.0;T.B. DE L'OREILLE MOY., DES FOSSES NASALES ET DU SINUS DE LA FACE;2c COUFACE requete;;
D22.3;NAEVUS A MELANOCYTES DES PARTIES DE LA FACE, NCA OU SAI;2c COUFACE requete;;
D23.3;T.B. DE LA PEAU DES PARTIES DE LA FACE, NCA OU SAI;2c COUFACE requete;;
C50.0;T.M. DU MAMELON ET DE L'AREOLE;3 SEIN requete;;
C50.1;T.M. DE LA PARTIE CENTRALE DU SEIN;3 SEIN requete;;
C50.2;T.M. DU QUADRANT SUPERO-INT. DU SEIN;3 SEIN requete;;
C50.3;T.M. DU QUADRANT INFERO-INT. DU SEIN;3 SEIN requete;;
C50.4;T.M. DU QUADRANT SUPERO-EXT. DU SEIN;3 SEIN requete;;
C50.5;T.M. DU QUADRANT INFERO-EXT. DU SEIN;3 SEIN requete;;
C50.6;T.M. DU PROLONGEMENT AXILLAIRE DU SEIN;3 SEIN requete;;
C50.8;T.M. A LOC. CONTIGUES DU SEIN;3 SEIN requete;;
C50.9;T.M. DU SEIN, SAI;3 SEIN requete;;
D05;CARC. IN SITU DU SEIN;3 SEIN requete;;
D05.0;CARC. IN SITU LOBULAIRE;3 SEIN requete;;
D05.1;CARC. IN SITU INTRACANALICULAIRE;3 SEIN requete;;
D05.7;CARC. IN SITU DU SEIN, NCA;3 SEIN requete;;
D05.9;CARC. IN SITU DU SEIN, SAI;3 SEIN requete;;
D24;T.B. DU SEIN;3 SEIN requete;;
D48.6;T. EV. IMPR., INC. DU SEIN;3 SEIN requete;;
C15.0;T.M. DE L'OESOPHAGE CERV.;4 THORAX REQUETE;;
C15.1;T.M. DE L'OESOPHAGE THOR.;4 THORAX REQUETE;;
C15.2;T.M. DE L'OESOPHAGE ABDO.;4 THORAX REQUETE;;
C15.3;T.M. DU TIERS SUP. DE L'OESOPHAGE;4 THORAX REQUETE;;
C15.4;T.M. DU TIERS MOY. DE L'OESOPHAGE;4 THORAX REQUETE;;
C15.5;T.M. DU TIERS INF. DE L'OESOPHAGE;4 THORAX REQUETE;;
C15.8;T.M. A LOC. CONTIGUES DE L'OESOPHAGE;4 THORAX REQUETE;;
C15.9;T.M. DE L'OESOPHAGE, SAI;4 THORAX REQUETE;;
C16.0;T.M. DU CARDIA;4 THORAX REQUETE;;
C33;T.M. DE LA TRACHEE;4 THORAX REQUETE;;
C34.0;T.M. DE LA BRONCHE SOUCHE;4 THORAX REQUETE;;
C34.1;T.M. DU LOBE SUP., BRONCHES OU POUMON;4 THORAX REQUETE;;
C34.2;T.M. DU LOBE MOY., BRONCHES OU POUMON;4 THORAX REQUETE;;
C34.3;T.M. DU LOBE INF., BRONCHES OU POUMON;4 THORAX REQUETE;;
C34.8;T.M. A LOC. CONTIGUES DES BRONCHES ET DU POUMON;4 THORAX REQUETE;;
C34.9;T.M. DE BRONCHE OU DU POUMON, SAI;4 THORAX REQUETE;;
C37;T.M. DU THYMUS;4 THORAX REQUETE;;
C38.0;T.M. DU COEUR;4 THORAX REQUETE;;
C38.1;T.M. DU MEDIASTIN ANT.;4 THORAX REQUETE;;
C38.2;T.M. DU MEDIASTIN POST.;4 THORAX REQUETE;;
C38.3;T.M. DU MEDIASTIN, PARTIE SAI;4 THORAX REQUETE;;
C38.4;T.M. DE LA PLEVRE;4 THORAX REQUETE;;
C38.8;T.M. A LOC. CONTIGUES DU COEUR, DU MEDIASTIN ET DE LA PLEVRE;4 THORAX REQUETE;;
C39.0;T.M. DES VOIES RESP. SUP., PARTIE SAI;4 THORAX REQUETE;;
C39.8;T.M. A LOC. CONTIGUES DES ORG. RESP. ET INTRATHOR.;4 THORAX REQUETE;;
C39.9;T.M. DE SIEGES MAL DEFINIS DE L'APP. RESP.;4 THORAX REQUETE;;
C77.1;T.M. IIre OU SAI DES Ggl. LYMPH. INTRATHOR.;4 THORAX REQUETE;;
C16.1;T.M. DU FUNDUS;5 ABDO REQUETE;;
C16.2;T.M. DU CORPS DE L'ESTOMAC;5 ABDO REQUETE;;
C16.3;T.M. DE L'ANTRE PYLORIQUE;5 ABDO REQUETE;;
C16.4;T.M. DU PYLORE;5 ABDO REQUETE;;
C16.5;T.M. DE LA Pt. COURBURE DE L'ESTOMAC, SAI;5 ABDO REQUETE;;
C16.6;T.M. DE LA Gd. COURBURE DE L'ESTOMAC, SAI;5 ABDO REQUETE;;
C16.8;T.M. A LOC. CONTIGUES DE L'ESTOMAC;5 ABDO REQUETE;;
